S;MuR;SigmaR;MuD;SigmaD;MuA;SigmaA;RhoA;MuB;SigmaB;Intra;SelfReg;scaling;DistB;ParsID;Stable;SAD;SD;Real;Imaginary;MeanB
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,84387549292296171;FALSE;Carrying Capacities;0,010000000000000;-0,97469087048869785;-1,99644171859179e-02;-0,00157950887456305
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,84387549292296171;FALSE;Carrying Capacities;0,010000000000000;-0,97218102114355109;0,00000000000000e+00;-0,00157950887456305
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,84387549292296171;FALSE;Carrying Capacities;0,010000000000000;0,16967710899633504;0,00000000000000e+00;-0,00157950887456305
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,84387549292296171;TRUE;Carrying Capacities;0,342222222222222;-1,77569651062525402;0,00000000000000e+00;-0,00194833817682044
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,84387549292296171;TRUE;Carrying Capacities;0,342222222222222;-1,69667211530358775;0,00000000000000e+00;-0,00194833817682044
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,84387549292296171;TRUE;Carrying Capacities;0,342222222222222;-1,61145747543533968;0,00000000000000e+00;-0,00194833817682044
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,84387549292296171;TRUE;Carrying Capacities;0,342222222222222;-1,48821183964111659;0,00000000000000e+00;-0,00194833817682044
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,84387549292296171;TRUE;Carrying Capacities;0,342222222222222;-1,39009325930155847;0,00000000000000e+00;-0,00194833817682044
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,84387549292296171;TRUE;Carrying Capacities;0,342222222222222;-1,37981368143525174;0,00000000000000e+00;-0,00194833817682044
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,84387549292296171;TRUE;Carrying Capacities;0,342222222222222;-1,33874853778106617;0,00000000000000e+00;-0,00194833817682044
40;1;0;1;0;0,03;0;0;0;0;None;Quadratic;FALSE;Normal;0,84387549292296171;TRUE;Carrying Capacities;0,342222222222222;-1,31261630260550977;0,00000000000000e+00;-0,00194833817682044
