S;MuR;SigmaR;MuD;SigmaD;MuA;SigmaA;RhoA;MuB;SigmaB;Intra;SelfReg;scaling;DistB;ParsID;Feasible;Eigenvalue;Stable;Type
90;1;0;1;0;0,025;0,025;0;0;0;None;Quadratic;FALSE;Normal;0,71227645291946828;1;1,25213900905297026;FALSE;Constrained HOIs
100;1;0;1;0;0,025;0,025;0;0;0;None;Quadratic;FALSE;Normal;0,47427430702373385;1;-0,76236896747247163;TRUE;Feasible Pairwise
100;1;0;1;0;0,025;0,025;0;0;0;None;Quadratic;FALSE;Normal;0,47427430702373385;1;1,45417816640336661;FALSE;Constrained HOIs
10;1;0;1;0;-0,025;0,025;0;0;0;None;Quadratic;FALSE;Normal;0,24945927364751697;1;-0,75761439164971045;TRUE;Feasible Pairwise
10;1;0;1;0;-0,025;0,025;0;0;0;None;Quadratic;FALSE;Normal;0,24945927364751697;1;-0,89647403393091107;TRUE;Constrained HOIs
20;1;0;1;0;-0,025;0,025;0;0;0;None;Quadratic;FALSE;Normal;0,56877147383056581;1;-0,53881849080489952;TRUE;Feasible Pairwise
20;1;0;1;0;-0,025;0,025;0;0;0;None;Quadratic;FALSE;Normal;0,56877147383056581;1;-0,84961111903736874;TRUE;Constrained HOIs
30;1;0;1;0;-0,025;0,025;0;0;0;None;Quadratic;FALSE;Normal;0,17410915018990636;1;-0,31572415141830912;TRUE;Feasible Pairwise
30;1;0;1;0;-0,025;0,025;0;0;0;None;Quadratic;FALSE;Normal;0,17410915018990636;1;-0,84684113398247285;TRUE;Constrained HOIs
40;1;0;1;0;-0,025;0,025;0;0;0;None;Quadratic;FALSE;Normal;0,03216893062926829;1;-0,06973504321844629;TRUE;Feasible Pairwise
40;1;0;1;0;-0,025;0,025;0;0;0;None;Quadratic;FALSE;Normal;0,03216893062926829;1;-0,83662973132639595;TRUE;Constrained HOIs
50;1;0;1;0;-0,025;0,025;0;0;0;None;Quadratic;FALSE;Normal;0,33650085981935263;1;0,22668381880337135;FALSE;Feasible Pairwise
50;1;0;1;0;-0,025;0,025;0;0;0;None;Quadratic;FALSE;Normal;0,33650085981935263;1;-0,80992796641882303;TRUE;Constrained HOIs
60;1;0;1;0;-0,025;0,025;0;0;0;None;Quadratic;FALSE;Normal;0,58234921749681234;1;0,47200134690489609;FALSE;Feasible Pairwise
60;1;0;1;0;-0,025;0,025;0;0;0;None;Quadratic;FALSE;Normal;0,58234921749681234;1;-0,78418213140869919;TRUE;Constrained HOIs
70;1;0;1;0;-0,025;0,025;0;0;0;None;Quadratic;FALSE;Normal;0,49428323772735894;1;0,73707163450932356;FALSE;Feasible Pairwise
70;1;0;1;0;-0,025;0,025;0;0;0;None;Quadratic;FALSE;Normal;0,49428323772735894;1;-0,72281639157124189;TRUE;Constrained HOIs
80;1;0;1;0;-0,025;0,025;0;0;0;None;Quadratic;FALSE;Normal;0,45415391121059656;1;0,92471563839423332;FALSE;Feasible Pairwise
80;1;0;1;0;-0,025;0,025;0;0;0;None;Quadratic;FALSE;Normal;0,45415391121059656;1;-0,72621029876310417;TRUE;Constrained HOIs
90;1;0;1;0;-0,025;0,025;0;0;0;None;Quadratic;FALSE;Normal;0,69696549582295120;1;1,21217930952532593;FALSE;Feasible Pairwise
